Lender,REV REQ,FICO,NSFS,TIB,POS,MIN DEPOSITS,OWNERSHIP,RESTRICTIONS / QUICK INFO
Idea,"$15,000",650,3 per month,3,1-2,8,50%,"NO REAL ESTATE, TRUCKING, No SD, ND, VT"
Channel Partner,"$15,000",650,6 total,3,1,5,—,NO TRUCKING / 650 credit 5 years TIB/ EMAIL ONLY FOR RENEWALS
CAN,"$10,000",600,—,3,1,3,—,ar
Wall,"$50,000",575,—,1,1-2,5,—,50k min
Fund So Fast,"$25,000",550,—,1,1-5,anything,51%,"NO CALI, MD, DAKOTAS / Ask me"
LG,"$20,000",600,—,1.5,2-4,1,50%,—
Legend,"$25,000",600,3 per month,1,1-3,—,—,—
Pinnacle,"$15,000",550,—,1,2-5,3,51%,"NO CALI , UTAH. UTAH NO TRUCKING"
Specialty,"$20,000",—,3 per month,1,—,—,—,—
Britecap,"$25,000",660,—,3,—,—,—,"No NV ND RI SD VT CA, No Real Estate, Insurance, Auto Dealers / 660+ Fico, 3+ TIB, 300k Annual"
